name,description,categories,vendor_name,total_installs,total_reviews,has_free_trial,is_paid,is_free,support_status,is_jira_service,link,pricing_cloud_1,pricing_cloud_2,pricing_server_1,pricing_server_2,pricing_server_3,pricing_server_4,pricing_server_5
WorklogPRO - Timesheets for Jira,Effective time tracking and reporting for Jira,"Dashboard gadgets, Project management, Reports",The Starware,,28,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1212626/worklogpro-timesheets-for-jira?hosting=datacenter&tab=overview,,,$10,$260,$500,"$1,000","$2,200"
Toggl Integration for Jira,Toggl Integration for Jira — your integrated time tracking,"Integrations, Project management, Time tracking",Lizard Brain UG,855,29,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1215495/toggl-integration-for-jira?hosting=cloud&tab=overview,$5,$1.5,$10,$250,$500,$750,"$1,000"
ActivityTimeline: Plan & Track Resources,Resource Planning & Task Tracking Team Workload Management Timesheets and Reports,"Project management, Reports, Tasks, Time tracking",Reliex,614,46,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1220860/activitytimeline-plan-track-resources?hosting=cloud&tab=overview,$10,$2.5,$100,$690,"$1,190","$2,190","$4,190"
Calendar for Jira - Plan Team Activities,"Calendar helps you plan any kind of personal and team’s activities, no matter who are you - marketer, HR, legal or project manager","Project management, Reports, Tasks, Time tracking",Teamlead,989,76,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1210975/calendar-for-jira-plan-team-activities?hosting=cloud&tab=overview,$3,$0.7,$10,$160,$300,$550,"$1,100"
Timesheets for Jira,"Advanced Jira time tracking — powerful time reports, simple time entry, custom attributes, approval process, & Tempo integration","Dashboard gadgets, Project management, Reports",Bob Swift Atlassian Apps (an Appfire company),623,36,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1213798/timesheets-for-jira?hosting=cloud&tab=overview,$10,$2,$49,$749,"$1,449","$2,799","$5,699"
Gantt Suite for Jira,Project visualization via Gantt chart. Tasks and resources planning. Easy to setup. Intuitive UI,"Charts & diagramming, Project management, Reports",BrizoIT,531,9,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222150/gantt-suite-for-jira?hosting=cloud&tab=overview,$2,$1,,,,,
Status & Progress Report Gadget for Jira,"Gain visibility into your project status & progress in a dashboard gadget. Sum up story points by user, sprint, epic or JQL filter","Dashboard gadgets, Project management, Reports",Agilis LT,561,6,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219429/status-progress-report-gadget-for-jira?hosting=cloud&tab=overview,$1,$0.5,$10,$80,$150,$250,$500
ictime TimeTracking & Reporting for Jira,"Easy, flexible time tracking, powerful reporting, and accounting for Jira","Custom fields, Reports, Time tracking",Smadoa GmbH,406,29,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1210885/ictime-timetracking-reporting-for-jira?hosting=server&tab=overview,,,$10,$300,$600,"$1,200","$1,600"
Harvest Time Tracking by 42nd,Harvest powered time tracking right from issues in Jira,"Integrations, Time tracking",42nd,447,16,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1218173/harvest-time-tracking-by-42nd?hosting=cloud&tab=overview,$5,$0.5,,,,,
Swanly - Portfolio Release Roadmaps Jira,"🚀Jira release management with portfolio roadmaps, cross-project releases, versions sync, release templates & release dashboards","Build management, Charts & diagramming, Project management",Jexo,476,18,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1219470/swanly-portfolio-release-roadmaps-jira?hosting=cloud&tab=overview,$10,$1.5,,,,,
Filters Activity Stream,Streamline your activity feed with basic or JQL filter to see what matters most,"Dashboard gadgets, Project management, Time tracking",Ugubi.io,369,17,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1213902/filters-activity-stream?hosting=cloud&tab=overview,$4,$0.4,$12,$29,$45,$90,$159
