name,description,categories,vendor_name,total_installs,total_reviews,has_free_trial,is_paid,is_free,support_status,is_jira_service,link,pricing_cloud_1,pricing_cloud_2,pricing_server_1,pricing_server_2,pricing_server_3,pricing_server_4,pricing_server_5
JQL Sum Up,Sum up estimates or any numerical field in any JQL query quickly and easily using your favorite filters. No config required,"Custom fields, Project management, Reports, Time tracking",Rhys Diab,10,1,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222689/jql-sum-up?hosting=cloud&tab=overview,$0,$0,,,,,
SLA,"SLA for Jira, Timers for Jira, Time in status for Jira","IT & helpdesk, Project management, Reports, Time tracking",Atlas team,51,4,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1220838/sla?hosting=server&tab=overview,,,,,,,
FreshBooks Connector for Jira,Connect your Jira with FreshBooks and prevent double time reporting for the same issues,"Custom fields, Integrations, Time tracking",Rozdoum,6,10,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/773842/freshbooks-connector-for-jira?hosting=server&tab=overview,,,$10,$120,$220,$400,$800
TimeChimp Time Tracking,Track time directly from your Jira Issues,Time tracking,TimeChimp,65,4,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1217981/timechimp-time-tracking?hosting=cloud&tab=overview,,,,,,,
Alkaes - Minyaa Time,Extends Jira with Time tracking feature and powerful reports,"Custom fields, Dashboard gadgets, Time tracking",Alkaes Consulting,25,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1215475/alkaes-minyaa-time?hosting=server&tab=overview,,,$90,$200,$300,$425,$700
Time To Invoice - Worklog reports,The easiest way to receive a workload report of your team members,"Project management, Reports, Time tracking",Get-Up,64,1,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222748/time-to-invoice-worklog-reports?hosting=cloud&tab=overview,,,,,,,
Visual Sprint Planning,Simplify cross-project sprint planning with a holistic view of people's commitments and NO configuration required,"Admin tools, Dependency management, Project management",Timone,11,1,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1222765/visual-sprint-planning?hosting=cloud&tab=overview,$10,$1.1,,,,,
Cronforce Time Tracking for Jira,"Best in class Time Tracking, Vacation Management and Project Cost Control. Free and Paid Plans",Time tracking,Cronforce,74,6,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1213875/cronforce-time-tracking-for-jira?hosting=cloud&tab=overview,,,,,,,
Worklog Sync,Copy or Move worklogs entered by users from one issue to another linked issue,Time tracking,OBSS,5,7,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1211496/worklog-sync?hosting=server&tab=overview,,,$10,$40,$75,$150,$225
Quidlo Timesheets for Jira,Track time in Quidlo Timesheets straight from your issues in Jira. Sync your records across all your devices,Time tracking,Quidlo,51,2,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1220714/quidlo-timesheets-for-jira?hosting=cloud&tab=overview,,,,,,,
Progress Highlighting for Jira,The ultimate user progress gadget based on estimations,"Dashboard gadgets, Time tracking",ADWEB Software,9,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1218307/progress-highlighting-for-jira?hosting=server&tab=overview,,,$50,$100,$100,$100,$100
TeamLog: Time Tracking & Reporting Tool,This intuitive Jira plugin is an all-in-one dashboard with daily work logs & performance reports for project managers & team leads,"Dashboard gadgets, Project management, Tasks",RMCSoft,6,3,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1217657/teamlog-time-tracking-reporting-tool?hosting=server&tab=overview,,,$15,$150,$300,$600,$950
Fastbucks: Automated Invoicing for Jira,Painless and automated billing to online accounting systems from Jira Projects,Time tracking,Izymes Pty Ltd,9,2,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1210938/fastbucks-automated-invoicing-for-jira?hosting=server&tab=overview,,,$10,$10,$10,$10,$10
Time in Status Lite,Track time of how long issues stayed in the specific status,"Project management, Reports, Tasks, Time tracking",SaaSJet,20,0,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222517/time-in-status-lite?hosting=cloud&tab=overview,$2.5,$0.55,,,,,
SIL Tempo Connector,"Create scripts to integrate and sync data between Jira and Tempo for better collaboration, team organization and work automation","Admin tools, Integrations, Project management",Cprime,,1,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1219694/sil-tempo-connector?hosting=datacenter&tab=overview,,,,,,,
CoffeeCup App,"Timetracking, Team Planning, Controlling, HR Management","Admin tools, Project management, Reports, Time tracking",CoffeeCup GmbH,55,4,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1219157/coffeecup-app?hosting=cloud&tab=overview,,,,,,,
A4J - Absence for Jira,User Absence Management,"Admin tools, Project management, Time tracking",ease solutions Pte Ltd,9,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1221345/a4j-absence-for-jira?hosting=server&tab=overview,,,$10,$25,$50,$100,$250
Productive Financial Planning for Jira,A simple and efficient way to integrate time tracking on projects in Jira with the rest of your agency business,Time tracking,Productive,46,1,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1222053/productive-financial-planning-for-jira?hosting=cloud&tab=overview,,,,,,,
BambooHR Integration for Jira,See absence management in context,"Integrations, Project management, Time tracking",New Verve Consulting,6,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1223438/bamboohr-integration-for-jira?hosting=server&tab=overview,,,$10,$220,$450,$880,"$1,760"
Magic Estimations,Easy and intuitive Jira app for quick backlog estimation. A great alternative to planning poker game for any agile team,"Project management, Time tracking, Utilities, Workflow",Tech-5,29,4,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1223655/magic-estimations?hosting=cloud&tab=overview,,,,,,,
SLA Alerts Lite for Jira Service Desk,Configure SLA Alerts for breaching and breached SLA's and manage which breaches you want to receive notifications for,"IT & helpdesk, Monitoring, Time tracking",Yiraphic,,2,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1219501/sla-alerts-lite-for-jira-service-desk?hosting=datacenter&tab=overview,,,,,,,
Blue Ant plugin for work-time,"Plugin to create/update Blue Ant activities or ToDos from Jira, work-time recording, % complete and remaining hours in Blue Ant","Custom fields, Integrations, Project management",proventis GmbH,27,4,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1214569/blue-ant-plugin-for-work-time?hosting=server&tab=overview,,,,,,,
Dovico Time Tracking for Jira,Work more efficiently by entering time within Jira for Dovico Timesheet,Time tracking,Dovico Software Inc.,48,4,Get it now,,Free app,SUPPORTED,,https://marketplace.atlassian.com/apps/1212984/dovico-time-tracking-for-jira?hosting=cloud&tab=overview,,,,,,,
SIL Excel Reporting,Painless programmable and ready to use Excel reporting. Use SIL® scripts to export anything you wish to Excel,"Charts & diagramming, Integrations, Reports, Time tracking",Cprime,15,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1214141/sil-excel-reporting?hosting=server&tab=overview,,,$10,$180,$350,$600,"$1,200"
MOCO Time Tracking for Jira,"Record, track and organize your working hours in Jira and transfer them automatically to MOCO","Integrations, Time tracking",Scolution GmbH & Co. KG,14,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1219563/moco-time-tracking-for-jira?hosting=server&tab=overview,,,$10,$130,$240,$440,$880
Issue analyzer for Jira,"Understanding how issues move through workflows, their time in status, where they get stuck, and how long they sit idle","Project management, Reports, Time tracking, Workflow",55 Degrees AB,13,0,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1220160/issue-analyzer-for-jira?hosting=cloud&tab=overview,$5,$0.5,,,,,
Pulse.Timesheet Plus with Time Tracking,Time Tracking & Timesheet Reporting tool with issue timer and dashboard gadget for your worklogs,"Dashboard gadgets, Reports, Time tracking, Utilities",PulseKit,11,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1219800/pulse-timesheet-plus-with-time-tracking?hosting=cloud&tab=overview,$4,$1,,,,,
User KPI for Jira,"Measure individual, team or project performance. Improve KPI's by continuous feedback and reviews","Charts & diagramming, Project management, Reports",ADWEB Software,11,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1219274/user-kpi-for-jira?hosting=server&tab=overview,,,$10,$25,$30,$30,$30
Gears worklog-restricted for Jira,restricted worklog,Time tracking,hktx.cn (汇科天下),11,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1218424/gears-worklog-restricted-for-jira?hosting=server&tab=overview,,,$10,$500,"$1,000","$1,500","$2,000"
Spectrum Timesheets,Easy and functional time tracking tool using Jira native worklog features,Time tracking,SPECTRUM GROUPE,11,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1217046/spectrum-timesheets?hosting=server&tab=overview,,,$10,$200,$300,$500,$600
Excel-like Tables for Jira,"Every issue has an Excel-like table. Making a spreadsheet and using a formula such as SUM, AVERAGE, and COUNT is easier than ever","Charts & diagramming, Project management, Time tracking","Ricksoft, Inc.",44,0,Get it now,,Free app,UNSUPPORTED,,https://marketplace.atlassian.com/apps/1223727/excel-like-tables-for-jira?hosting=cloud&tab=overview,,,,,,,
Autonomous Time Keeping for Jira Cloud,Automatic time tracking. Builds your timesheet without interrupting flow. Get effortlessly detailed reports & retain your privacy,"Project management, Reports, Time tracking, Workflow",WiseTime,29,1,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1221818/autonomous-time-keeping-for-jira-cloud?hosting=cloud&tab=overview,,,,,,,
WorkDay Control for Jira,"This component allows to record the working day start and end time, mandatory on some countries like Spain",Time tracking,excentia,12,7,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1220580/workday-control-for-jira?hosting=server&tab=overview,,,,,,,
Bulk Planning,Automatically plan team's work and get optimal deadlines,"Project management, Tasks, Time tracking",Globo Solutions,10,0,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1220603/bulk-planning?hosting=server&tab=overview,,,,,,,
Work Log Indicator,Shows you how much worklog you entered today in Jira's top bar,"Reports, Time tracking, Utilities",Kod Gemisi,12,4,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1222554/work-log-indicator?hosting=server&tab=overview,,,,,,,
Abacolla Issue Drill Down & Reporting,Identify bottlenecks in your projects and sprints,"Charts & diagramming, Project management, Reports",SuperAktiv AS,9,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1212734/abacolla-issue-drill-down-reporting?hosting=cloud&tab=overview,$3,$3,,,,,
Log Work for another Jira User,Keep you company time tracking up to date with Log Work for another Jira User,"Project management, Time tracking",Reinwok,,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1224081/log-work-for-another-jira-user?hosting=datacenter&tab=overview,,,,,,,
Time History,"Allows to monitor the time between changes in the fields of the issue: Status, Assignee, Priority, e.t., and also custom fields","Custom fields, Monitoring, Reports, Time tracking",SolaceIn,2,2,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1223358/time-history?hosting=server&tab=overview,,,$20,$100,$200,$300,$600
Time Tracking and Logging from Dashboard,Manage your Timesheet directly from your Dashboard! Powerful timesheet visualisation and edition from user's dashboard,"Dashboard gadgets, Time tracking",MCasmadin,3,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1219453/time-tracking-and-logging-from-dashboard?hosting=server&tab=overview,,,$10,$25,$50,$130,$300
JC360 for Jira,"Track and analyze time spent with Jira issues. Automatic task switching, real-time monitoring and powerful productivity reports","Project management, Reports, Time tracking, Workflow",JobCTRL Inc.,35,0,Get it now,,Free app,UNSUPPORTED,,https://marketplace.atlassian.com/apps/1220422/jc360-for-jira?hosting=cloud&tab=overview,,,,,,,
KRONOS Timesheets – Worklogs and reports,Create and manage worklogs and create meaningful team or individual reports manually or automatically,"Monitoring, Project management, Time tracking",MORESIMP,1,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1223792/kronos-timesheets-worklogs-and-reports?hosting=server&tab=overview,,,$10,$200,$400,$800,"$1,600"
Spectrum TimeReports,"Insights from your team Work logs based on time reports with comprehensive charts by Projects, Issues, Users, Teams or JQL","Charts & diagramming, Reports, Time tracking",SPECTRUM GROUPE,6,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1221219/spectrum-timereports?hosting=server&tab=overview,,,$10,$200,$300,$500,$600
Kamba your Agile Standup Board,Digital meeting board for your agile stand-ups,"Monitoring, Project management, Time tracking",THALES,4,0,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1220327/kamba-your-agile-standup-board?hosting=cloud&tab=overview,$10,$1.5,,,,,
Calamari Connector for Jira,"HR, leave & absence management for your Team","Project management, Time tracking, Utilities",CHROBRUS,27,0,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1218677/calamari-connector-for-jira?hosting=server&tab=overview,,,,,,,
Program Tree - Extra Hierarchy for Jira,Visualise and track your entire program on a single page in a nested tree list. Create levels of hierarchy above Epics,"Custom fields, Project management, Reports, Time tracking",Rhys Diab,1,1,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1223063/program-tree-extra-hierarchy-for-jira?hosting=cloud&tab=overview,$10,$1.5,,,,,
Manday,Time tracking and project budget management across systems made a piece of cake,"Project management, Reports, Time tracking",Sense4code s.r.o.,7,1,Get it now,,Free app,UNSUPPORTED,,https://marketplace.atlassian.com/apps/1221698/manday?hosting=cloud&tab=overview,,,,,,,
USeP - User Story to effort Predictor,Guesswork seldom works! Game ahead with USeP Estimates,"Design tools, Project management, Tasks, Time tracking",Amrut Software Pvt Ltd,4,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1223359/usep-user-story-to-effort-predictor?hosting=cloud&tab=overview,$10,$2,,,,,
Phases for Jira,"Load & capacity planning for teams or individuals: Epic phases or stories on a timeline, with planned vs actual start & end dates","Charts & diagramming, Dashboard gadgets, Project management",Sellegi,2,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1220004/phases-for-jira?hosting=server&tab=overview,,,$10,$25,$50,$100,$250
Absence Tracking for Jira,Optimize time tracking processes by automatically logging hours for employee's absence,"Admin tools, Project management, Time tracking",Rozdoum,4,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1221085/absence-tracking-for-jira?hosting=server&tab=overview,,,Free,Free,Free,Free,Free
Work Log Visibility Plugin,View distribution of work logs amongst issues and team members at a glance,"Monitoring, Project management, Time tracking",Novalab Teknoloji,4,0,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1220525/work-log-visibility-plugin?hosting=cloud&tab=overview,$1,$0.5,,,,,
Quantum::Estimator for JIRA,Get your estimation done right. Follow scientific best practices. Streamline estimations with distributed teams,"Project management, Time tracking, Utilities, Workflow",Datarocks,1,1,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1222817/quantum-estimator-for-jira?hosting=server&tab=overview,,,$10,$220,$450,$880,"$1,760"
Log Work Utilities,Log work for another user and clear remaining estimate when issue is resolved,Time tracking,Gebsun,8,4,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1214103/log-work-utilities?hosting=server&tab=overview,,,,,,,
Sprint helper toolkit,"Sprint Planning, Retrospective, Time tracking, Time report generation","Project management, Reports, Time tracking",RAJYS,1,1,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1220018/sprint-helper-toolkit?hosting=cloud&tab=overview,$5,$0.7,,,,,
Mirhai Timesheets for Jira,Easy time tracking and scheduling,Time tracking,Mirhai Inc.,3,0,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1223000/mirhai-timesheets-for-jira?hosting=cloud&tab=overview,$10,$2,,,,,
Hours to Man Days for Tempo,Convert worklogs and reports between Hours and Man Days M/D in Tempo timesheets and Tempo budget,"Project management, Reports, Time tracking, Utilities",Mind-Mercatis,2,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1223027/hours-to-man-days-for-tempo?hosting=server&tab=overview,,,$10,$10,$10,$10,$10
Boomslang,Tempo Notification Worklog Reminders,"Dashboard gadgets, Monitoring, Time tracking,",Montrose Software,2,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1222013/boomslang?hosting=cloud&tab=overview,$1,$0.5,,,,,
Estimate: Project Analysis Tool,Speed up and formalize you Project and Time Management,"Monitoring, Project management, Tasks, Time tracking",RMCSoft,2,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1219603/estimate-project-analysis-tool?hosting=server&tab=overview,,,$20,$150,$250,$600,$950
Simple Time Tracker Report for Jira,This app will save you time by calculating the time your team spends in sprint and delivering a report to an email address,"Reports, Time tracking",simplereport.technology,5,0,Get it now,,Free app,UNSUPPORTED,,https://marketplace.atlassian.com/apps/1223865/simple-time-tracker-report-for-jira?hosting=cloud&tab=overview,,,,,,,
Timesheet for Jira,Timesheet and work-log reports,Time tracking,i4ware Software,1,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1223446/timesheet-for-jira?hosting=server&tab=overview,,,$10,$220,$450,$880,"$1,760"
ActivityTimeline (Legacy Edition),New version: ⠀⠀ https://bitly.com/atl_app ⠀⠀ Resource Planning & Time Tracking,"Project management, Reports, Tasks, Time tracking",Reliex,,71,Get it now,,,,,https://marketplace.atlassian.com/apps/1210888/activitytimeline-legacy-edition?hosting=server&tab=overview,,,,,,,
Sprints Instant Scheduling,Automatically add your issues to future sprints according to the team velocity and sprint future Velocity in one click,"Project management, Tasks, Time tracking, Utilities",Add-On Experts Center,1,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1223163/sprints-instant-scheduling?hosting=cloud&tab=overview,$5,$0.5,$10,$140,$230,$460,$680
WLR,Summarize the worklogs in search period,"Admin tools, Monitoring, Reports, Time tracking",Lonely Software,1,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1221314/wlr?hosting=cloud&tab=overview,$3,$1.5,,,,,
CB Time Report,Smart time reports and projects/sprints summary view,"Admin tools, Monitoring, Reports, Time tracking",Citrusbits Inc.,1,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1221687/cb-time-report?hosting=cloud&tab=overview,$1,$0.5,,,,,
TaskPro,Get an accurate look at you past workweeks,Time tracking,Sioux Group,1,0,Try it free,Buy it now,,SUPPORTED,,https://marketplace.atlassian.com/apps/1221144/taskpro?hosting=cloud&tab=overview,$10,$2.5,,,,,
Flexi Resources Management,"RM supports Leader of Project, Department or authorized people can manage the using of resources in projects","Project management, Time tracking",FSOFT - FPT Software,1,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1219898/flexi-resources-management?hosting=server&tab=overview,,,$10,$160,$300,$550,"$1,100"
Worklog Assistant (time tracking),Hassle-free time tracking for Jira - Because timesheets suck,Time tracking,Fizz Buzz Inc.,,24,Get it now,,,,,https://marketplace.atlassian.com/apps/6284/worklog-assistant-time-tracking?hosting=server&tab=overview,,,,,,,
Replicon Time Tracking for Jira,#1 Project Time Tracking Solution for Jira. Trusted by thousands of companies across 70+ countries for their time tracking needs,"Mobile, Project management, Tasks, Time tracking",Replicon Inc,,9,Get it now,Learn more,,SUPPORTED,,https://marketplace.atlassian.com/apps/1218803/replicon-time-tracking-for-jira?hosting=cloud&tab=overview,,,,,,,
SLA Budget for JSD,Easy budgeting and reporting based on your own service agreements by request types and custom periods,"IT & helpdesk, Project management, Reports, Time tracking",CoreIT s.r.o.,,0,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1223853/sla-budget-for-jsd?hosting=server&tab=overview,,,,,,,
Estimator for Jira Estimation & Planning,Estimate more accurately in a time efficient manner. Estimator - all that's needed for accurate estimates and efficient planning,"Project management, Reports, Time tracking, Utilities",DSPlugins,,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1223067/estimator-for-jira-estimation-planning?hosting=server&tab=overview,,,$10,$50,$100,$150,$300
JAssistant,"Add worklog via calendar, import issues, export Timesheet, Sprint, Estimate and custom reports / chart via Report Builder for free","Project management, Reports, Time tracking, Utilities",Shridhar TL,,4,Get it now,Learn more,,UNSUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1221570/jassistant?hosting=cloud&tab=overview,,,,,,,
timeBro,Fully automatic time tracking – timeBro automatically captures all your computer activities & exports your time tracking to Jira,"IT & helpdesk, Integrations, Project management",timeBro,,4,Get it now,Purchase,,UNSUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1220642/timebro?hosting=cloud&tab=overview,,,,,,,
Timetracker - Time tracking jira client,"Chronos Timetracker - Desktop client for JIRA. Track time, upload automatic and manual worklogs without a hassle","Integrations, Project management, Time tracking",WebPal,,5,Get it now,Learn more,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1218300/timetracker-time-tracking-jira-client?hosting=cloud&tab=overview,,,,,,,
Jira Cloud for Google Sheets (Official),Jira in spreadsheets: the solution for your reporting pains,"Project management, Reports, Time tracking",Atlassian,,4,Get it now,Learn more,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1220382/jira-cloud-for-google-sheets-official?hosting=cloud&tab=overview,,,,,,,
Projectt,Bring Jira and Harvest together! How is your project going against budget? Burning fast or slow? Find out in easy to read graphs,"Project management, Reports, Time tracking",RedAnt,,2,Get it now,Purchase,,SUPPORTED,,https://marketplace.atlassian.com/apps/1220276/projectt?hosting=cloud&tab=overview,,,,,,,
Executive KPI Reporting for Jira,Monitor organisation performance against strategic goals with real-time ServiceClarity KPI reporting tools,"Project management, Reports, Tasks, Time tracking",ServiceClarity for JIRA,,1,Get it now,Purchase,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1220282/executive-kpi-reporting-for-jira?hosting=cloud&tab=overview,,,,,,,
Gallifrey - Time Tracking Assistant,Assistant to help manage your 'wibbily wobbly timey wimey' for Jira,Time tracking,Chris Blyth,,1,Get it now,,Free app,,,https://marketplace.atlassian.com/apps/1212190/gallifrey-time-tracking-assistant?hosting=server&tab=overview,,,,,,,
WageLog,Wage calculation based on worklogs - made easy,"Reports, Time tracking, Utilities",JonDos GmbH,,0,Try it free,Buy it now,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1222319/wagelog?hosting=cloud&tab=overview,$10,$0.95,,,,,
Business Time for Jira,Put on your business socks and enjoy timesheets without any hassle,"Admin tools, Reports, Time tracking, Utilities",CTO Kit,,0,Try it free,Buy it now,,,,https://marketplace.atlassian.com/apps/1220524/business-time-for-jira?hosting=server&tab=overview,,,$10,$400,$750,"$1,375","$2,750"
it.JCATS - SAP Worklogs with Jira,Reliable and easy: Log your time in Jira and SAP simultaneously without having to switch platforms,"Integrations, Project management, Time tracking",acocon GmbH - business division greenique,1,0,Learn more,,,,,https://marketplace.atlassian.com/apps/1223171/it-jcats-sap-worklogs-with-jira?hosting=server&tab=overview,,,,,,,
U-Pledge,Manage your charity tasks in Jira easily,"Charts & diagramming, Project management, Time tracking",Everit Kft.,1,0,Get it now,,Free app,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1223241/u-pledge?hosting=cloud&tab=overview,,,,,,,
Jira Cloud for Excel (official),Export Jira data to Excel - Combine the power of Jira with the flexibility of Excel,"Charts & diagramming, Integrations, Reports, Time tracking",Atlassian,,3,Get it now,Learn more,,SUPPORTED,JIRA SERVICE MANAGEMENT,https://marketplace.atlassian.com/apps/1221301/jira-cloud-for-excel-official?hosting=cloud&tab=overview,,,,,,,
Time Logger for Jira,Simple Windows desktop app for time tracking (worklog posting) using issue info from browser,Time tracking,Kvipu,,2,Get it now,,,,,https://marketplace.atlassian.com/apps/1211955/time-logger-for-jira?hosting=server&tab=overview,,,,,,,
Time Tracking for Jira with Monitask,Easy-to-use automatic time tracking software for Jira,"Tasks, Time tracking","FEST Technologies, LLC",,0,Get it now,Learn more,,SUPPORTED,,https://marketplace.atlassian.com/apps/1223737/time-tracking-for-jira-with-monitask?hosting=cloud&tab=overview,,,,,,,
CLI for developer worklog tracking,Don't waste time adding Worklogs,"IDE, Time tracking",Ruairi O'Donnell,,0,Get it now,Learn more,,UNSUPPORTED,,https://marketplace.atlassian.com/apps/1223505/cli-for-developer-worklog-tracking?hosting=cloud&tab=overview,,,,,,,
Tima - Track Time & Log Work in Jira,"Tima is the solution for all your day2day Jira needs when you’re on the road: track time, log work and view reports","Admin tools, Project management, Reports, Time tracking",FELGO GmbH,,0,Get it now,Learn more,,SUPPORTED,,https://marketplace.atlassian.com/apps/1222511/tima-track-time-log-work-in-jira?hosting=cloud&tab=overview,,,,,,,
WT4 - Worklog tracker for Jira,Desktop app for tracking worklogs in Jira,"Tasks, Time tracking",Marius Merkevičius,,0,Get it now,Learn more,,UNSUPPORTED,,https://marketplace.atlassian.com/apps/1221945/wt4-worklog-tracker-for-jira?hosting=cloud&tab=overview,,,,,,,
WiseTime Autonomous Timekeeper - Server,Expertly automated timekeeping that doesn’t interrupt your workflow,Time tracking,WiseTime,,0,Learn more,,,,,https://marketplace.atlassian.com/apps/1221431/wisetime-autonomous-timekeeper-server?hosting=server&tab=overview,,,,,,,
Comb helps teams ship software on time,Turn story points into time estimates and notify the team when work won't be done on time. See where you're overestimating,"Monitoring, Project management, Reports, Time tracking",Comb,,0,Get it now,Learn more,,SUPPORTED,,https://marketplace.atlassian.com/apps/1219760/comb-helps-teams-ship-software-on-time?hosting=cloud&tab=overview,,,,,,,
Hubstaff,"Time tracking platform with proof of work that supports Mac, Windows, Linux, Android, iOS, Chromebook and Chrome browser",Time tracking,Hubstaff,,0,Learn more,Purchase,,,,https://marketplace.atlassian.com/apps/1213405/hubstaff?hosting=server&tab=overview,,,,,,,
